Id,Category
0,6
1,5
2,2
3,3
4,6
5,5
6,2
7,10
8,11
9,13
10,15
11,6
12,24
13,2
14,25
15,14
16,32
17,4
18,32
19,33
20,32
21,34
22,32
23,33
24,35
25,14
26,32
27,34
28,32
29,4
30,34
31,32
32,33
33,6
34,45
35,46
36,6
37,1
38,2
39,3
40,6
41,5
42,2
43,6
44,24
45,2
46,25
47,14
48,36
49,18
50,32
51,4
52,34
53,14
54,35
55,6
56,45
57,46
58,6
59,1
60,2
61,3
62,6
63,5
64,46
65,10
66,11
67,13
68,15
69,6
70,45
71,2
72,25
73,4
74,32
75,2
76,32
77,33
78,32
79,34
80,32
81,33
82,33
83,2
84,32
85,2
86,32
87,14
88,34
89,29
90,15
91,6
92,45
93,46
94,6
95,1
96,2
97,3
98,6
99,5
100,2
101,10
102,11
103,13
104,15
105,6
106,24
107,2
108,25
109,4
110,32
111,4
112,32
113,33
114,32
115,34
116,32
117,33
118,33
119,14
120,36
121,18
122,37
123,4
124,37
125,39
126,40
127,6
128,45
129,2
130,1
131,2
132,6
133,24
134,25
135,14
136,30
137,24
138,2
139,25
140,4
141,6
142,26
143,2
144,27
145,10
146,28
147,29
148,14
149,30
150,4
151,1
152,37
153,39
154,40
155,26
156,26
157,42
158,12
159,44
160,28
161,44
162,14
163,30
164,45
165,2
166,1
167,2
168,10
169,11
170,13
171,14
172,15
173,2
174,2
175,25
176,4
177,11
178,26
179,2
180,27
181,10
182,28
183,29
184,14
185,30
186,14
187,36
188,37
189,39
190,40
191,2
192,2
193,27
194,17
195,27
196,28
197,29
198,14
199,30
200,45
201,46
202,45
203,2
204,14
205,18
206,37
207,38
208,40
209,24
210,2
211,25
212,4
213,11
214,26
215,2
216,27
217,10
218,28
219,29
220,14
221,30
222,32
223,33
224,34
225,33
226,33
227,32
228,34
229,32
230,33
231,14
232,36
233,37
234,39
235,40
236,10
237,26
238,42
239,12
240,42
241,14
242,44
243,14
244,15
245,45
246,46
247,5
248,2
249,10
250,12
251,13
252,14
253,15
254,6
255,2
256,25
257,4
258,26
259,26
260,2
261,27
262,10
263,28
264,29
265,14
266,30
267,32
268,33
269,34
270,32
271,33
272,34
273,32
274,32
275,33
276,14
277,36
278,37
279,39
280,40
281,10
282,12
283,27
284,43
285,44
286,12
287,44
288,14
289,15
290,45
291,46
292,4
293,1
294,2
295,3
296,6
297,46
298,7
299,21
300,2
301,11
302,27
303,14
304,28
305,30
306,30
307,4
308,19
309,22
310,20
311,2
312,20
